District,Role,Immigration,Economy,Social,Foreign,Aggregate,Adjustment,Final
TX-26,ANCHOR — 100,100,100,100,100,1.0000,-,1.0000
AZ-05,Freedom Caucus former chair,95,80,92,80,0.8675,-,0.8675
TX-21,"FC, very AF",92,82,92,78,0.8660,-,0.8660
AZ-02,"Freedom Caucus, anti-McCarthy 8",92,82,90,80,0.8630,-,0.8630
MD-01,FC Chair,92,80,92,75,0.8550,+0.0500,0.9050
OH-04,"Judiciary Chair, FC founder",90,80,92,78,0.8530,-,0.8530
AZ-09,"FC, controversial AF",95,80,85,80,0.8500,-,0.8500
TN-02,"Anti-McCarthy 8, FC",92,80,88,78,0.8480,-,0.8480
GA-09,FC AF,90,78,90,75,0.8370,-,0.8370
IL-15,FC AF,90,78,90,75,0.8370,-,0.8370
MO-07,FC AF,90,78,90,75,0.8370,-,0.8370
AL-01,Freedom Caucus,90,80,92,60,0.8350,-,0.8350
PA-10,FC former chair,90,80,90,65,0.8350,-,0.8350
AL-06,"RSC Chair, Policy",88,78,92,70,0.8320,-,0.8320
AZ-08,MAGA freshman,90,78,88,75,0.8320,-,0.8320
CO-04,MAGA AF,92,80,90,55,0.8300,-,0.8300
FL-13,"MAGA AF, FC",92,80,90,55,0.8300,-,0.8300
FL-19,"MAGA AF, FL Gov candidate",92,80,90,55,0.8300,-,0.8300
LA-03,FC AF,88,78,88,75,0.8270,-,0.8270
OH-08,FC AF,88,78,88,75,0.8270,-,0.8270
OK-02,FC AF,88,78,88,75,0.8270,-,0.8270
SC-05,FC AF,88,78,88,75,0.8270,-,0.8270
TX-03,FC AF,88,78,88,75,0.8270,-,0.8270
VA-05,FC (defeated Bob Good),88,78,88,75,0.8270,-,0.8270
VA-06,FC,88,78,88,75,0.8270,-,0.8270
TN-05,FC AF,90,78,90,60,0.8220,-,0.8220
TX-27,FC AF,90,78,90,60,0.8220,-,0.8220
WY-AL,MAGA AF (defeated Cheney),90,78,90,60,0.8220,-,0.8220
TX-13,MAGA AF,90,78,90,55,0.8170,-,0.8170
FL-07,"MAGA AF, mil bg",90,78,90,50,0.8120,-,0.8120
FL-06,MAGA AF,90,78,90,50,0.8120,-,0.8120
TX-22,MAGA AF,90,78,88,55,0.8120,-,0.8120
FL-01,"MAGA, replaced Gaetz",88,75,88,70,0.8100,-,0.8100
FL-03,Conservative AF,88,75,88,70,0.8100,-,0.8100
FL-17,FC AF,88,75,88,70,0.8100,-,0.8100
NJ-02,MAGA-aligned (switched),88,75,88,70,0.8100,-,0.8100
WI-03,MAGA AF,88,75,88,70,0.8100,-,0.8100
GA-03,Trump-aligned,85,75,88,70,0.8025,-,0.8025
IN-03,Conservative R returning,85,75,88,70,0.8025,-,0.8025
TX-15,"Conservative R, Hispanic district",88,75,85,70,0.8025,-,0.8025
TX-11,RSC Chair-elect,85,75,88,68,0.8005,-,0.8005
GA-10,Trump-aligned AF,88,75,88,55,0.7950,-,0.7950
NY-21,"MAGA, ex-Conference Chair",88,75,90,50,0.7950,-,0.7950
TX-38,"MAGA R, Senate/Gov candidate",88,75,88,55,0.7950,-,0.7950
MI-02,China Committee Chair,82,72,85,80,0.7855,-,0.7855
TX-19,Budget Chair,82,75,85,65,0.7825,-,0.7825
WV-02,Conservative R,82,72,88,65,0.7780,-,0.7780
MO-08,W&M Chair,82,75,85,55,0.7725,-,0.7725
MI-09,Conference Chair,82,72,85,65,0.7705,-,0.7705
NY-24,Conservative R,82,70,88,65,0.7700,-,0.7700
WI-06,Conservative R,82,70,88,65,0.7700,-,0.7700
OK-05,RSC Chair,82,72,88,55,0.7680,-,0.7680
UT-04,Conservative R,82,72,88,50,0.7630,-,0.7630
AK-AL,Mainstream R,80,70,85,70,0.7625,-,0.7625
FL-21,Foreign Affairs Chair,88,70,85,50,0.7625,-,0.7625
KY-01,Oversight Chair,82,70,85,65,0.7625,-,0.7625
TX-24,Conservative R,82,70,85,65,0.7625,-,0.7625
WI-07,"Conservative R, Gov candidate",82,70,85,65,0.7625,-,0.7625
CA-20,Mainstream R,80,70,85,65,0.7575,-,0.7575
CO-05,Conservative R,80,70,85,65,0.7575,-,0.7575
CA-01,Mainstream R (won special 6/2/26),80,70,85,65,0.7575,-,0.7575
FL-04,Mainstream R,80,70,85,65,0.7575,-,0.7575
FL-08,Mainstream conservative,80,70,85,65,0.7575,-,0.7575
GA-11,Conservative R,80,70,85,65,0.7575,-,0.7575
GA-14,Mainstream R (won special 4/7/26),80,70,85,65,0.7575,-,0.7575
IN-08,Conservative R,80,70,85,65,0.7575,-,0.7575
IN-09,Conservative R,80,70,85,65,0.7575,-,0.7575
IA-04,"Conservative R, Gov candidate",80,70,85,65,0.7575,-,0.7575
KS-01,Conservative R,80,70,85,65,0.7575,-,0.7575
KS-02,Conservative R,80,70,85,65,0.7575,-,0.7575
KS-04,Conservative R,80,70,85,65,0.7575,-,0.7575
MI-05,"Conservative R, Ed Chair",80,70,85,65,0.7575,-,0.7575
MN-07,Conservative R,80,70,85,65,0.7575,-,0.7575
MS-04,Conservative R,80,70,85,65,0.7575,-,0.7575
MO-03,Conservative R,80,70,85,65,0.7575,-,0.7575
MO-04,Conservative R,80,70,85,65,0.7575,-,0.7575
MT-02,Conservative R,80,70,85,65,0.7575,-,0.7575
NY-23,Conservative R,80,70,85,65,0.7575,-,0.7575
NC-06,Conservative R,80,70,85,65,0.7575,-,0.7575
NC-08,Conservative R,80,70,85,65,0.7575,-,0.7575
NC-10,Conservative R,80,70,85,65,0.7575,-,0.7575
NC-13,Conservative R,80,70,85,65,0.7575,-,0.7575
NC-14,Conservative R,80,70,85,65,0.7575,-,0.7575
OH-06,Conservative R,80,70,85,65,0.7575,-,0.7575
OH-07,Conservative R,80,70,85,65,0.7575,-,0.7575
OK-01,Conservative R,80,70,85,65,0.7575,-,0.7575
SC-03,Conservative R,80,70,85,65,0.7575,-,0.7575
SC-07,Conservative R,80,70,85,65,0.7575,-,0.7575
TN-01,Conservative R,80,70,85,65,0.7575,-,0.7575
TN-06,"Mainstream R, Gov candidate",80,70,85,65,0.7575,-,0.7575
TN-07,Special election winner,80,70,85,65,0.7575,-,0.7575
TX-01,Conservative R,80,70,85,65,0.7575,-,0.7575
TX-04,Conservative R,80,70,85,65,0.7575,-,0.7575
TX-08,"Conservative R, military",80,70,85,65,0.7575,-,0.7575
TX-12,Conservative R,80,70,85,65,0.7575,-,0.7575
TX-14,Conservative R,80,70,85,65,0.7575,-,0.7575
TX-36,Conservative R,80,70,85,65,0.7575,-,0.7575
UT-02,Conservative R,80,70,85,65,0.7575,-,0.7575
UT-03,Conservative R (replaced Curtis),80,70,85,65,0.7575,-,0.7575
WV-01,Conservative R,80,70,85,65,0.7575,-,0.7575
